City,CO,NO2,O3,SO2,PM2.5,PM10
San Marcos,216.96,5.48,34.69,0.41,4.38,10.52
Vallejo,333.79,17.82,28.61,0.54,5.02,8.8
San Francisco,814.44,58.26,4.16,6.02,25.13,34.23
Mesquite,277.04,8.65,28.61,1.0,8.59,9.3
Chula Vista,527.38,33.59,18.42,2.47,8.33,15.7
Lexington-Fayette  county,267.03,4.97,47.21,3.64,2.57,3.05
Yakima,297.07,12.85,36.12,0.08,6.27,8.64
Wichita Falls,230.31,3.86,61.51,1.03,1.12,1.27
Beaverton,567.44,33.24,1.39,1.3,17.03,20.47
Flagstaff,176.91,0.62,68.67,0.43,1.56,8.22
Cape Coral,200.27,0.64,87.26,0.24,1.89,4.63
Lee's Summit,277.04,9.43,50.07,5.78,1.37,2.13
Oklahoma City,230.31,3.51,66.52,3.61,0.64,1.04
McAllen,223.64,3.3,60.8,2.27,2.42,2.93
Odessa,240.33,3.3,43.27,0.72,2.1,2.63
Toledo,198.6,1.3,73.67,0.05,0.5,0.67
Carrollton,263.69,7.11,37.55,0.84,4.71,4.99
Lafayette,203.61,1.48,94.41,0.48,4.41,8.99
Gresham,627.52,44.55,1.07,1.67,21.49,25.09
Menifee,403.88,19.88,30.4,0.75,6.01,14.22
Livermore,480.65,37.01,17.52,3.4,10.39,15.18
Edmond,223.64,3.09,66.52,4.59,0.5,0.94
Baltimore,333.79,12.0,50.07,2.92,13.64,17.26
Layton,413.9,21.76,22.89,0.54,10.28,11.94
Roseville,413.9,20.39,14.48,0.49,7.05,14.54
Tempe,453.95,23.99,28.25,0.95,8.34,18.52
Concord,277.04,9.08,47.21,1.4,1.09,1.32
Rancho Cucamonga,211.95,4.2,69.38,0.34,2.6,14.14
North Charleston,267.03,2.14,85.12,0.68,19.72,22.22
Riverview,230.31,0.48,67.95,0.05,0.5,0.81
Plantation,213.62,5.14,74.39,1.74,2.15,5.14
Lubbock,206.95,1.71,67.95,0.21,0.78,1.18
Alhambra,263.69,14.22,59.37,1.67,3.28,14.4
Renton,507.36,38.39,0.91,3.16,9.09,13.48
Grand Rapids,236.99,2.16,66.52,2.0,0.5,0.79
Miami,208.62,2.19,72.96,0.84,1.68,3.3
Orlando,243.66,7.45,107.29,2.35,5.33,8.83
Sacramento,560.76,28.1,5.63,0.81,13.23,19.03
Vancouver,340.46,14.05,28.97,1.55,1.21,5.99
Rancho Cordova,714.3,28.45,5.14,1.52,17.43,25.09
South Jordan,747.68,44.55,16.99,3.87,27.89,32.97
Trenton,323.77,21.94,54.36,6.38,8.36,13.75
Arlington Heights,250.34,2.83,65.09,0.63,0.63,1.07
Deltona,205.28,1.18,104.43,0.54,4.35,8.04
Kansas City,277.04,8.65,52.21,3.87,1.55,2.73
Surprise,216.96,1.74,80.82,0.06,1.98,10.36
Charleston,270.37,2.14,92.98,0.72,20.26,22.95
Flower Mound,253.68,4.24,47.92,0.87,4.31,4.47
Bloomington,260.35,3.13,48.64,1.19,1.67,2.02
Little Rock,253.68,3.17,50.07,0.55,3.1,3.35
Newport News,260.35,1.27,86.55,1.97,19.61,21.93
Temecula,337.12,13.37,37.91,0.76,4.31,12.64
Greenville,233.65,2.46,67.95,0.72,10.44,13.26
Santa Fe,223.64,4.8,57.94,0.2,1.37,3.05
Baton Rouge,220.3,9.34,98.71,5.9,5.64,9.7
Raleigh,257.02,2.64,82.25,2.12,15.68,18.18
Montgomery,223.64,4.16,75.1,2.09,10.56,14.81
Meridian,213.62,2.27,54.36,0.6,9.9,14.86
The Villages,223.64,0.84,94.41,0.29,4.29,8.3
West Valley City,647.54,45.24,13.59,5.31,20.58,26.42
Delray Beach,208.62,2.55,82.25,1.19,1.8,5.18
Citrus Heights,413.9,20.39,14.48,0.49,7.05,14.54
Elgin,243.66,1.91,62.23,0.55,0.5,0.74
Bridgeport,270.37,10.8,75.1,2.47,2.44,5.73
Tracy,440.6,31.19,17.17,2.15,8.54,13.62
Youngs,253.68,4.03,66.52,1.34,12.05,15.26
Orem,500.68,24.68,21.1,0.69,16.87,20.5
Stamford,320.44,22.28,60.8,4.95,4.35,9.15
Fort Lauderdale,210.29,4.07,74.39,1.76,1.92,4.87
Boca Raton,206.95,3.0,77.96,1.33,1.89,5.49
Warner Robins,213.62,1.74,65.09,0.27,9.91,13.02
Lafayette,203.61,1.48,94.41,0.48,4.41,8.99
Brownsville,216.96,1.89,71.53,1.03,3.77,5.38
Allen,250.34,3.98,42.2,0.51,4.02,4.22
Victoria,340.46,17.99,30.4,3.34,3.06,4.35
Sunrise,213.62,5.14,74.39,1.74,2.15,5.14
Pharr,216.96,3.47,62.94,5.19,3.12,3.74
Davenport,253.68,2.79,59.37,0.56,0.6,0.87
Glendale,403.88,38.39,39.34,2.27,6.54,19.75
San Juan,226.97,0.31,38.62,0.3,0.92,1.15
Everett,407.22,36.33,12.52,3.07,5.77,9.31
Milpitas,700.95,52.78,7.78,6.86,27.02,35.02
High Point,250.34,5.1,65.09,1.65,15.14,17.8
Passaic,337.12,22.62,54.36,4.11,5.88,10.26
Lawrence,240.33,2.55,62.94,2.24,0.5,0.9
East Orange,300.41,13.71,62.23,2.68,5.69,9.58
Alameda,1255.04,85.0,2.57,13.23,44.16,66.07
Des Moines,243.66,3.09,64.37,0.42,0.58,1.08
South Gate,1214.98,79.51,8.67,11.21,33.54,56.24
San Ramon,201.94,1.29,72.24,0.05,0.5,0.69
Bend,293.73,8.91,39.7,0.01,2.39,4.22
Mobile,226.97,2.87,101.57,1.59,7.56,11.25
League City,206.95,5.18,88.69,2.44,4.37,11.24
Killeen,223.64,4.2,39.7,0.63,4.41,7.64
Arvada,360.49,14.74,45.42,0.28,5.27,8.64
Folsom,347.14,13.2,19.31,0.2,4.34,9.87
Alafaya,243.66,7.45,107.29,2.35,5.33,8.83
Avondale,367.17,19.54,49.35,1.06,5.43,15.05
Fayetteville,233.65,1.76,56.51,0.35,1.33,2.16
Richardson,273.71,9.08,32.19,1.15,5.5,5.83
Aurora,243.66,1.71,62.94,0.42,0.5,0.77
Jackson,226.97,4.76,65.09,0.83,8.71,14.82
Bellevue,554.09,28.45,0.72,0.69,10.64,17.03
Hollywood,403.88,38.39,39.34,2.27,6.54,19.75
Palmdale,240.33,5.06,70.81,0.35,4.0,18.67
Riverside,247.0,7.88,75.1,1.28,3.13,15.61
Akron,257.02,6.17,53.64,2.27,0.87,1.42
Gaithersburg,313.76,10.11,43.99,2.44,14.75,17.24
South San Francisco,814.44,58.26,4.16,6.02,25.13,34.23
Pasco,323.77,14.05,11.62,0.14,6.17,7.77
Bolingbrook,250.34,2.74,62.94,0.67,0.59,1.03
